Time: 20211113-133508, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 65.22% +- 0.67% 
Time: 20211113-161258, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 65.33% +- 0.70% 
Time: 20211113-163908, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 65.41% +- 0.69% 
Time: 20211113-165008, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 65.62% +- 0.69% 
Time: 20211113-170110, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 65.48% +- 0.70% 
Time: 20211113-171218, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 65.59% +- 0.68% 
Time: 20211114-124123, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.32% +- 0.67% 
Time: 20211114-131435, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.38% +- 0.69% 
Time: 20211114-134758, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.22% +- 0.68% 
Time: 20211114-142144, Setting: CUB-novel-Conv4-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.68% +- 0.68% 
Time: 20211115-101757, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.93% +- 0.68% --------400 epoch 
Time: 20211115-111025, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.22% +- 0.67% --------400 epoch
Time: 20211115-112124, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.74% +- 0.68% --------400 epoch
Time: 20211115-112834, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.43% +- 0.69% --------400 epoch
Time: 20211115-113402, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.60% +- 0.65% --------400 epoch
Time: 20211116-131141, Setting: miniImagenet-novel-ResNet10Drop-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 71.79% +- 0.66% 
Time: 20211116-131300, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.54% +- 0.67% 
Time: 20211116-134905, Setting: miniImagenet-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 72.48% +- 0.68% 
Time: 20211116-141011, Setting: miniImagenet-novel-ResNet10Drop-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 72.11% +- 0.64% 
Time: 20211117-101640, Setting: miniImagenet-novel-ResNet10Drop-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 71.88% +- 0.65% 
Time: 20211117-104956, Setting: miniImagenet-novel-ResNet10Drop-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 72.18% +- 0.61% 
Time: 20211117-112653, Setting: miniImagenet-novel-ResNet10Drop-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 72.10% +- 0.67% 
Time: 20211117-205300, Setting: miniImagenet-novel-ResNet10-baselinecutmix-aug 5shot 5way_test, Acc: 600 Test Acc = 73.81% +- 0.65% 
Time: 20211118-102049, Setting: miniImagenet-novel-ResNet10-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 74.09% +- 0.65% 
Time: 20211118-103717, Setting: miniImagenet-novel-ResNet10-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 73.73% +- 0.63% 
